NED_id,class,ra,dec,zdist,D,F1400,F843,Fsyn,Lsyn,Pcav,L151,Ljet,Lcr,Fcr,Rmax
CGCG 502-027 NED02,p,19.89573,32.18051,0.0625155711326,272.635118591,2635.2,0.0,3045.47327049,41.474122707166636,44.795313888579585,41.12915641202061,43.89633294896378,43.352264904613506,2.5304068555472155e-12,19.002588433416776
NGC 0541,j,21.4346,-1.37948,0.0181346591562,76.1923466128,538.2,0.0,621.992150188,39.67691192297898,43.53726633964823,39.33194562783296,42.29681535103676,41.75274730668649,8.147298971772963e-13,18.20282963445327
NGC 0547,j,21.50248,-1.34514,0.0183198340237,76.9557391371,3926.3,0.0,4537.58413096,40.548611038357016,44.14745572041285,40.203644743210994,43.072627563723216,42.52855951937294,4.7661371706397764e-12,18.590735740796493
IC 0115,j,21.72676,19.21446,0.044401465215,191.140385855,1408.1,0.0,1627.3265453,40.89348394598083,44.38886675574952,40.54851765083481,43.379564451508415,42.83549640715814,1.5663201534482726e-12,18.744204184689092
4C +00.05,j,22.88709,0.55589,0.0832009678904,368.11516239,532.0,0.0,614.826874582,41.04002457518405,44.49144519619177,40.695058280038026,43.509985611499275,42.965917567149,5.702157390729158e-13,18.809414764684522
NGC 0612,j,23.49057,-36.49324,0.0309486320819,131.920488614,5137.3,12256.0,10447.4351963,41.37893850878576,44.72868494971297,41.033972213639736,43.8116190124048,43.26755096805452,8.892328769732432e-12,18.960231465137284
NGC 0613,g,23.57598,-29.41849,0.00479915412143,20.64441124,222.9,0.0,257.603214933,38.15986060260346,42.47533041538536,37.814894307457436,40.94663967590255,40.40257163155228,4.955137083196768e-13,17.52774179688616
NGC 660,g,25.75979,13.64568,0.0028783523012,12.4383421571,391.8,0.0,452.799190717,37.96473496103618,42.33874246628826,37.619768665890156,40.77297785490767,40.2289098105574,9.151111720767683e-13,17.44091088638872
CGCG 537-022,j,26.17824,42.73759,0.0526617220625,228.055063168,293.4,0.0,339.079332711,40.36568507759126,44.01940754787682,40.020718782445236,42.90982345864169,42.365755414291414,3.730482632681661e-13,18.509333688255733
ESO 152-IG 022 NED02,j,26.30067,-55.72767,0.0942011997307,419.920570325,0.0,885.2,754.574872371,41.243340958562015,44.63376666455635,40.89837466341599,43.69093719270567,43.14686914835539,6.646972693890924e-13,18.89989055528772
